Number of Features,VQC Accuracy,QSVM Accuracy
1.0,0.55,0.57
2.0,0.72,0.74
3.0,0.81,0.85
4.0,0.91,0.93
5.0,0.94,0.96
6.0,0.92,0.94
7.0,0.91,0.93
8.0,0.9,0.92
9.0,0.89,0.91
10.0,0.88,0.9
11.0,0.87,0.89
12.0,0.86,0.88
13.0,0.842,0.862
14.0,0.824,0.844
15.0,0.806,0.826
16.0,0.79,0.8
17.0,0.78,0.8
18.0,0.77,0.78
